AnstroemwinkelKern;Artikelgewicht;Ausstossdruck;Ausstossgeschw;BeschaedigungDuese;BeschaedigungEinzungzone;Blasenbildung;BrueckeTrichter;Darmeffekt;DichtigkeitAKKU;DichtigkeitWBK;Drosselventil;DuesenKernkombination;DuesenwerkzugAufNull;DurchhaengenKont;Extruderdruck;ExtruderRPM;Gardineneffekt;GegendruckAKKU;Heizzone1;Heizzone10;Heizzone11;Heizzone12;Heizzone13;Heizzone14;Heizzone2;Heizzone3;Heizzone4;KontaminationDuese;KontaminationExtruder;KontaminationKopf;Kratzer;MatFeuchtigkeit;MilichigKalterSchlauchWolken;RauchQualm;RegeneratAnteil;Regeneratqualitaet;Schlauchkrempeln;Schlauchlaengenschwankungen;SchlauchlaufGeradeauslauf;Schlierenbildung;Schmelzbruch;Taktzeit;TempDuese;TempDueseKopf;TempDueseKopfAussen;TempExtruder;TempExtrudereinfuellzone;TempExtrudereinzug;TempKopf;TempRohstoff;UntSchlauchlaengenMehrfachkoepfe;VerbrRohstoffDuese;VerunreinRohstoff;VorformlingGlaenzend;WDSAnfangEnde;WDSmanuell;WDSSpruenge;WDSzuDuenn;ZentrierungDuese
iO;iO;mittel;mittel;Nein;Ja;Ja;Ja;Ja;iO;iO;niO;niO;niO;Ja;hoch;niedrig;Nein;mittel;mittel;mittel;hoch;niedrig;niedrig;hoch;hoch;hoch;hoch;Ja;Nein;Nein;Ja;niO;Ja;Nein;mittel;iO;Ja;Ja;Nein;Nein;Nein;hoch;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;niO;Ja;Ja;iO
niO;zuschwer;mittel;mittel;Nein;Nein;Ja;Ja;Ja;niO;iO;niO;niO;iO;Nein;mittel;hoch;Nein;hoch;mittel;hoch;niedrig;hoch;mittel;mittel;niedrig;hoch;mittel;Ja;Nein;Nein;Nein;niO;Ja;Ja;hoch;iO;Ja;Ja;Nein;Ja;Nein;niedrig;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;niO;Ja;Ja;niO
niO;iO;mittel;hoch;Ja;Nein;Nein;Nein;Ja;iO;iO;iO;niO;niO;Ja;mittel;hoch;Ja;hoch;mittel;niedrig;mittel;niedrig;hoch;hoch;mittel;niedrig;hoch;Ja;Nein;Nein;Nein;niO;Ja;Ja;niedrig;niO;Ja;Ja;Nein;Nein;Nein;mittel;niO;iO;niO;niO;iO;niO;niO;zuniedrig;Nein;Nein;Ja;Ja;niO;niO;Nein;Ja;iO
niO;iO;hoch;mittel;Ja;Nein;Ja;Ja;Ja;iO;iO;niO;niO;iO;Ja;mittel;mittel;Nein;mittel;mittel;hoch;mittel;niedrig;mittel;mittel;hoch;mittel;hoch;Nein;Nein;Nein;Nein;niO;Ja;Ja;mittel;iO;Ja;Ja;Ja;Ja;Ja;hoch;iO;iO;niO;niO;niO;niO;iO;iO;Ja;Nein;Ja;Nein;iO;niO;Nein;Nein;niO
iO;iO;mittel;niedrig;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;iO;iO;Nein;mittel;hoch;Nein;hoch;mittel;niedrig;hoch;hoch;mittel;mittel;hoch;mittel;mittel;Ja;Nein;Nein;Nein;niO;Ja;Nein;hoch;niO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;niO;iO;niO;niO;iO;zuhoch;Nein;Nein;Nein;Ja;iO;niO;Ja;Ja;niO
niO;zuschwer;mittel;niedrig;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;niO;niO;Ja;mittel;hoch;Nein;mittel;mittel;mittel;hoch;hoch;hoch;niedrig;mittel;hoch;hoch;Ja;Nein;Nein;Ja;niO;Ja;Nein;hoch;niO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;iO;iO;iO;iO;iO;iO;Ja;Nein;Ja;Nein;niO;niO;Ja;Ja;iO
niO;zuschwer;mittel;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;niO;iO;niO;Ja;hoch;hoch;Nein;mittel;mittel;hoch;mittel;hoch;niedrig;niedrig;hoch;hoch;hoch;Nein;Nein;Ja;Ja;niO;Ja;Ja;hoch;iO;Ja;Ja;Ja;Nein;Nein;hoch;iO;iO;niO;iO;iO;niO;iO;iO;Ja;Nein;Ja;Nein;iO;niO;Ja;Nein;niO
niO;zuschwer;mittel;mittel;Ja;Nein;Ja;Nein;Nein;niO;iO;iO;iO;iO;Ja;mittel;hoch;Nein;mittel;mittel;hoch;niedrig;mittel;mittel;hoch;hoch;hoch;hoch;Nein;Nein;Nein;Ja;niO;Ja;Nein;mittel;niO;Ja;Ja;Ja;Ja;Nein;mittel;iO;iO;niO;niO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;niO;niO;Ja;Ja;iO
iO;zuleicht;hoch;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;niO;iO;Ja;mittel;hoch;Nein;hoch;mittel;mittel;hoch;niedrig;hoch;mittel;hoch;hoch;hoch;Ja;Nein;Nein;Ja;niO;Ja;Nein;hoch;iO;Ja;Ja;Ja;Nein;Nein;hoch;iO;iO;niO;niO;niO;niO;iO;iO;Ja;Ja;Ja;Nein;niO;niO;Nein;Ja;niO
niO;zuleicht;mittel;mittel;Ja;Nein;Nein;Ja;Ja;iO;iO;iO;niO;niO;Nein;niedrig;mittel;Ja;hoch;mittel;hoch;hoch;mittel;hoch;hoch;mittel;hoch;hoch;Nein;Nein;Nein;Nein;niO;Ja;Nein;mittel;niO;Nein;Ja;Nein;Nein;Ja;mittel;niO;iO;iO;niO;iO;niO;iO;iO;Ja;Ja;Ja;Ja;niO;niO;Nein;Ja;niO
